phase,dataset,variant,seed,git_sha,timestamp,host,N,Dim,ef_ref,threads,repeat,build_time_s,edges,avg_degree,Recall_pct,CV,M_index,ef_construction
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:17,hallasan,60000,128,101,16,0,0.6982016563415527,858254,14.304233333333332,96.87000000000002,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:18,hallasan,60000,128,101,16,1,0.684293270111084,858782,14.313033333333333,,0.2103582810070143,21,132
2,sift1m,dhnsw,42,9fe3928,2026-09-05T20:19:19,hallasan,60000,128,101,16,2,0.6892948150634766,858001,14.300016666666666,,0.2103582810070143,21,132
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:22,hallasan,60000,128,101,1,0,3.2389111518859863,857409,14.29015,96.63000000000001,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:25,hallasan,60000,128,101,1,1,3.23750638961792,857409,14.29015,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:28,hallasan,60000,128,101,1,2,3.2349042892456055,857409,14.29015,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:30,hallasan,60000,128,101,2,0,1.6705565452575684,857529,14.29215,96.66,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:32,hallasan,60000,128,101,2,1,1.6674606800079346,857504,14.291733333333333,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:33,hallasan,60000,128,101,2,2,1.6747500896453857,857313,14.28855,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:35,hallasan,60000,128,101,3,0,1.133552074432373,857380,14.289666666666667,96.64000000000001,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:36,hallasan,60000,128,101,3,1,1.1351349353790283,857149,14.285816666666667,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:37,hallasan,60000,128,101,3,2,1.13535475730896,857301,14.28835,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:38,hallasan,60000,128,101,4,0,0.8636970520019531,857404,14.290066666666666,96.59000000000002,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:39,hallasan,60000,128,101,4,1,0.8636128902435303,857503,14.291716666666666,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:39,hallasan,60000,128,101,4,2,0.8630096912384033,857412,14.2902,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:40,hallasan,60000,128,101,5,0,0.7069628238677979,857354,14.289233333333334,96.59000000000002,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:41,hallasan,60000,128,101,5,1,0.7100584506988525,857972,14.299533333333333,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:42,hallasan,60000,128,101,5,2,0.7067880630493164,857650,14.294166666666667,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:42,hallasan,60000,128,101,6,0,0.5992176532745361,857594,14.293233333333333,96.61000000000001,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:43,hallasan,60000,128,101,6,1,0.597947359085083,857817,14.29695,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:44,hallasan,60000,128,101,6,2,0.7334697246551514,857989,14.299816666666667,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:44,hallasan,60000,128,101,7,0,0.7174804210662842,857080,14.284666666666666,95.67,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:45,hallasan,60000,128,101,7,1,0.8759763240814209,857322,14.2887,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:46,hallasan,60000,128,101,7,2,0.6987032890319824,857830,14.297166666666667,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:47,hallasan,60000,128,101,8,0,0.6827266216278076,857825,14.297083333333333,96.65,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:47,hallasan,60000,128,101,8,1,0.6793780326843262,857427,14.29045,,0.2103582810070143,21,100
2,sift1m,dhnsw_ef100,42,9fe3928,2026-09-05T20:19:48,hallasan,60000,128,101,8,2,0.6848042011260986,856770,14.2795,,0.2103582810070143,21,100
